label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.score,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.AGG.avg,exposure.AGG.min,exposure.EEM.avg,exposure.EEM.min,exposure.EFA.avg,exposure.EFA.min,exposure.IEF.avg,exposure.IEF.min,exposure.LQD.avg,exposure.LQD.min,exposure.SHY.avg,exposure.SHY.min,exposure.SPY.avg,exposure.SPY.min
ROT SPY+EFA+EEM+AGG top1 13612W can SPY+EFA+EEM+AGG/1 fb best(LQD+IEF+SHY),test,test,2023-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,0.00352022,0.02357097,0.00358687,0.02365362,37256.90471806,31500.00000000,5756.90471806,0.18275888,0.06263513,0.07103985,0.49808358,0.14333881,0.68716021,0.44010551,-0.14231843,,2025,0.13367119,2024,-0.00542212,1204761.99214746,119.56545957,7.31888242,0.00379573,0.00000000,0.00000000,0.27248267,0.00000000,0.06798246,0.00000000,0.04540223,0.00000000,0.09061155,0.00000000,0.34008380,0.00000000,0.17985042,0.00000000
ROT SPY+EFA+EEM+AGG top1 1-3-6-12U can SPY+EFA+EEM+AGG/1 fb best(LQD+IEF+SHY),test,test,2023-01-03,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,0.00444595,0.02421885,0.00448615,0.02421885,45133.65864051,31500.00000000,13633.65864051,0.43281456,0.12720774,0.15484932,0.85663829,0.15453423,1.21537799,0.89415234,-0.14226630,,2026,0.17929569,2023,0.02046191,670758.62081462,66.19456517,3.80099500,0.00210141,0.00000000,0.00000000,0.29522540,0.00000000,0.09077501,0.00000000,0.00000000,0.00000000,0.06776122,0.00000000,0.24939156,0.00000000,0.29236065,0.00000000
SPY25/EFA25/EEM25/AGG25,test,test,2023-01-03,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.01674246,0.04231539,0.01251120,0.03004420,45355.24628634,31500.00000000,13855.24628634,0.43984909,0.15094968,0.15702890,1.29662385,0.11404478,1.94069575,1.40154085,-0.10770266,81,2025,0.21465590,2024,0.08313733,36102.42641552,3.38392105,0.19430150,0.00010743,0.24809907,0.24430593,0.24906795,0.24656591,0.24843963,0.24570771,,,,,,,0.23764866,0.21995580
SPY60/AGG40,test,test,2023-01-03,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.01557129,0.03546620,0.01361286,0.03154341,43324.97228881,31500.00000000,11824.97228881,0.37539595,0.14154653,0.13672668,1.45904250,0.09428314,2.20536102,1.27300344,-0.11119100,113,2023,0.16923494,2026,0.07215220,34411.09175870,2.90627890,0.18442972,0.00009226,0.39803253,0.39259771,,,,,,,,,,,0.58639424,0.56845659
SPY benchmark,test,test,2023-01-03,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.01118127,0.02889993,0.01118276,0.02890110,51462.51865568,31500.00000000,19962.51865568,0.63373075,0.22151929,0.21396638,1.42521974,0.14894780,2.14327329,1.18927495,-0.18626415,127,2023,0.26134206,2026,0.12377263,31218.24766906,2.18527734,0.14948196,0.00006937,,,,,,,,,,,,,0.98881724,0.97109890
ROT SPY+EFA+EEM+AGG top1 13612W can SPY+EFA+EEM+AGG/1 fb best(LQD+IEF+SHY),sens,sens_2012-01-03,2012-01-03,2017-01-03,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,0.00150887,0.00814187,0.00157094,0.00814313,46461.23314320,40000.00000000,6461.23314320,0.16153083,0.06869305,0.04836468,0.75243179,0.09440706,1.07686186,0.52688164,-0.13037663,,2012,0.22745270,2015,-0.00539193,2054705.45667223,209.74888423,7.10235292,0.00524372,0.00000000,0.00000000,0.14743084,0.00000000,0.09823864,0.00000000,0.21280685,0.00000000,0.14734547,0.00000000,0.22916943,0.00000000,0.16343783,0.00000000
ROT SPY+EFA+EEM+AGG top1 1-3-6-12U can SPY+EFA+EEM+AGG/1 fb best(LQD+IEF+SHY),sens,sens_2012-01-03,2012-01-03,2017-01-03,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,0.00215129,0.00748667,0.00219560,0.00756878,43890.49155066,40000.00000000,3890.49155066,0.09726229,0.03887459,0.02994170,0.49183789,0.08506665,0.67552406,0.27169365,-0.14308245,732,2012,0.10718825,2015,-0.06352443,1335685.86604361,144.25516957,4.95246563,0.00360638,0.00000000,0.00000000,0.11467835,0.00000000,0.03274259,0.00000000,0.29438556,0.00000000,0.21267288,0.00000000,0.16372487,0.00000000,0.17960016,0.00000000
SPY25/EFA25/EEM25/AGG25,sens,sens_2012-01-03,2012-01-03,2017-01-03,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00679357,0.01692793,0.00365089,0.00773457,45514.93627060,40000.00000000,5514.93627060,0.13787341,0.05350759,0.04169849,0.52517274,0.11125264,0.74150565,0.30566677,-0.17505203,,2012,0.12054121,2015,-0.04160195,47003.16561685,4.44001812,0.16802317,0.00011100,0.24804413,0.24338176,0.24936849,0.24710291,0.24918900,0.24748038,,,,,,,0.24660294,0.24226543
SPY60/AGG40,sens,sens_2012-01-03,2012-01-03,2017-01-03,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00426682,0.01398803,0.00298032,0.00784154,51562.38616024,40000.00000000,11562.38616024,0.28905965,0.09098044,0.08222853,1.20824967,0.07452294,1.75758855,1.25970837,-0.07222341,314,2013,0.17062393,2017,0.00498661,45946.30447108,3.87497068,0.15248394,0.00009687,0.39809707,0.39261535,,,,,,,,,,,0.59763451,0.59215846
SPY benchmark,sens,sens_2012-01-03,2012-01-03,2017-01-03,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00239049,0.00887397,0.00239169,0.00887535,59070.77871491,40000.00000000,19070.77871491,0.47676947,0.13984583,0.12676115,1.09225606,0.12755911,1.57511286,1.06101226,-0.13180416,334,2013,0.31819168,2017,0.00763075,39853.28689682,2.78973008,0.11934910,0.00006974,,,,,,,,,,,,,0.99760831,0.99112465
ROT SPY+EFA+EEM+AGG top1 13612W can SPY+EFA+EEM+AGG/1 fb best(LQD+IEF+SHY),sens,sens_2012-07-03,2012-07-03,2017-07-03,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,0.00162966,0.00614270,0.00169092,0.00622659,45917.78979442,40000.00000000,5917.78979442,0.14794474,0.05076743,0.04460848,0.59335802,0.09056873,0.83934099,0.38980507,-0.13023799,990,2013,0.08071106,2015,-0.00524676,1958979.16603755,196.96265054,7.17690879,0.00492407,0.00000000,0.00000000,0.14739706,0.00000000,0.13103393,0.00000000,0.18003986,0.00000000,0.13091502,0.00000000,0.26186350,0.00000000,0.14705971,0.00000000
ROT SPY+EFA+EEM+AGG top1 1-3-6-12U can SPY+EFA+EEM+AGG/1 fb best(LQD+IEF+SHY),sens,sens_2012-07-03,2012-07-03,2017-07-03,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,0.00193998,0.00900028,0.00198699,0.00900163,44119.76004759,40000.00000000,4119.76004759,0.10299400,0.03460859,0.03166603,0.45100008,0.08332094,0.61276859,0.24205656,-0.14297727,732,2016,0.09502785,2015,-0.06340680,1439844.74087702,148.98664477,5.46094245,0.00372467,0.00000000,0.00000000,0.14744433,0.00000000,0.03271867,0.00000000,0.22918699,0.00000000,0.21262907,0.00000000,0.19640452,0.00000000,0.17962944,0.00000000
SPY25/EFA25/EEM25/AGG25,sens,sens_2012-07-03,2012-07-03,2017-07-03,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,0.00609888,0.01567061,0.00326769,0.00710592,48651.96814323,40000.00000000,8651.96814323,0.21629920,0.06594378,0.06339596,0.65912089,0.10558000,0.93163737,0.37724658,-0.17480285,659,2017,0.11096654,2015,-0.04139954,46218.89208569,4.34088059,0.16674839,0.00010852,0.24840443,0.24389619,0.24924747,0.24738440,0.24923321,0.24755426,,,,,,,0.24701415,0.24289408
