label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.score,params.canary,params.fallback,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.IEF.avg,exposure.IEF.min,exposure.SPY.avg,exposure.SPY.min
ROT SPY top1 12M fb best(BIL+IEF),full,full,2008-07-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,12M,,best(BIL+IEF),0.00115853,0.00480500,0.00116457,0.00480711,412559.01776018,118500.00000000,294059.01776018,2.48151070,0.11195741,0.11492646,0.76986617,0.15349010,1.07495281,0.33182242,-0.33740157,323,2013,0.31878101,2022,-0.11989581,3006986.35800606,258.35522731,0.62605106,0.00218021,0.05961738,0.00000000,0.10069262,0.00000000,0.83852543,0.00000000
ROT SPY top1 12M fb IEF,full,full,2008-07-01,2026-08-24,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,12M,,IEF,0.00115246,0.00480500,0.00115804,0.00480711,401078.20661852,118500.00000000,282578.20661852,2.38462622,0.11008238,0.11249712,0.75092668,0.15552706,1.04997201,0.32633362,-0.33733078,323,2013,0.31878101,2022,-0.17895866,2753437.22379801,233.09122077,0.58099587,0.00196701,,,0.16031074,0.00000000,0.83853122,0.00000000
SPY60/IEF40,full,full,2008-07-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,,0.00210674,0.00995958,0.00153642,0.00806153,314270.55505042,118500.00000000,195770.55505042,1.65207219,0.08467859,0.09128313,0.78922755,0.11101856,1.12221526,0.29429636,-0.28773237,586,2019,0.21420421,2022,-0.16834147,444998.60217693,38.14496671,0.10229595,0.00032190,,,0.39928817,0.39501829,0.59860405,0.59193847
SPY benchmark,full,full,2008-07-01,2026-08-24,true,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,,,,0.00116426,0.00737715,0.00116472,0.00737881,546212.30855534,118500.00000000,427712.30855534,3.60938657,0.12033077,0.13885120,0.67600259,0.19723966,0.95579738,0.25513316,-0.47163908,861,2013,0.31884220,2008,-0.28800229,118234.48610020,8.27641403,0.01979425,0.00006984,,,,,0.99883528,0.99262119
ROT SPY top1 1-3-6-12U can TIP/1 fb best(BIL+IEF),fit,fit,2008-07-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,TIP/1,best(BIL+IEF),0.00115321,0.00480500,0.00117416,0.00480711,263462.20522709,96500.00000000,166962.20522709,1.73017829,0.10690584,0.11678317,0.89282047,0.12224821,1.24780129,0.53654758,-0.19924765,690,2021,0.28453732,2011,-0.00697273,7338804.28568671,635.00523528,2.64978518,0.00658037,0.18382822,0.00000000,0.18360315,0.00000000,0.63139447,0.00000000
ROT SPY top1 1-3-6-12U can TIP/1 fb IEF,fit,fit,2008-07-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,TIP/1,IEF,0.00120386,0.00480500,0.00122196,0.00480711,253132.98736865,96500.00000000,156632.98736865,1.62313977,0.10538168,0.11236101,0.85656115,0.12641818,1.19731786,0.52939897,-0.19905909,690,2021,0.28453302,2022,-0.11520245,6917736.12631006,587.83024460,2.39193611,0.00609151,,,0.36741776,0.00000000,0.63136028,0.00000000
ROT SPY top1 1-3-6-12U fb best(BIL+IEF),fit,fit,2008-07-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,,best(BIL+IEF),0.00124199,0.00480500,0.00125424,0.00480711,219569.65387922,96500.00000000,123069.65387922,1.27533320,0.09526712,0.09652772,0.73335776,0.13702086,1.01287769,0.45757190,-0.20820142,483,2013,0.31877119,2022,-0.12002114,3738586.68739233,317.13635138,1.37749668,0.00328639,0.05745256,0.00000000,0.13765851,0.00000000,0.80363468,0.00000000
ROT SPY top1 1-3-6-12U fb IEF,fit,fit,2008-07-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,1-3-6-12U,,IEF,0.00133296,0.00480500,0.00134522,0.00480711,207510.60466585,96500.00000000,111010.60466585,1.15036896,0.09157764,0.09018954,0.69983096,0.13918572,0.96747040,0.43193486,-0.21201724,,2013,0.31847259,2022,-0.17892986,3772331.42681758,320.02624729,1.38240740,0.00331633,,,0.19511288,0.00000000,0.80354190,0.00000000
ROT SPY top1 13612W can TIP/1 fb best(BIL+IEF),fit,fit,2008-07-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,TIP/1,best(BIL+IEF),0.00109196,0.00487517,0.00112404,0.00497257,217918.56209908,96500.00000000,121418.56209908,1.25822344,0.09738153,0.09568256,0.89481816,0.11080500,1.26825379,0.62736472,-0.15522315,664,2020,0.24470025,2022,-0.08265107,11014148.69579116,956.94687358,3.96395198,0.00991655,0.24696303,0.00000000,0.19515551,0.00000000,0.55675742,0.00000000
ROT SPY top1 13612W can TIP/1 fb IEF,fit,fit,2008-07-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,TIP/1,IEF,0.00103706,0.00480500,0.00106291,0.00480711,198211.83788161,96500.00000000,101711.83788161,1.05400868,0.09520346,0.08502191,0.83677038,0.11695132,1.18592109,0.41885003,-0.22729726,,2020,0.24447093,2022,-0.18332376,9916498.18348056,842.92587438,3.48359106,0.00873498,,,0.44210021,0.00000000,0.55683687,0.00000000
ROT SPY top1 13612W fb best(BIL+IEF),fit,fit,2008-07-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,,best(BIL+IEF),0.00108089,0.00487517,0.00110155,0.00497257,188354.87004561,96500.00000000,91854.87004561,0.95186394,0.09158626,0.07924610,0.72941121,0.13224252,1.02124213,0.41544887,-0.22045134,1008,2013,0.31894139,2022,-0.17307562,8334736.92400406,708.60365378,3.08304929,0.00734304,0.08039265,0.00000000,0.14346151,0.00000000,0.77504429,0.00000000
ROT SPY top1 13612W fb IEF,fit,fit,2008-07-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,13612W,,IEF,0.00118481,0.00480500,0.00120436,0.00480711,170701.19478336,96500.00000000,74201.19478336,0.76892430,0.08756869,0.06801794,0.69012503,0.13494556,0.96641291,0.31072331,-0.28182207,,2013,0.31865865,2022,-0.24174634,8213094.67172395,697.57103587,3.04908145,0.00722872,,,0.22383602,0.00000000,0.77495961,0.00000000
ROT SPY top1 12M can TIP/1 fb best(BIL+IEF),fit,fit,2008-07-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,12M,TIP/1,best(BIL+IEF),0.00114136,0.00480500,0.00115289,0.00480711,215549.39225100,96500.00000000,119049.39225100,1.23367246,0.09688862,0.09445761,0.71321948,0.14447507,0.98599924,0.28691666,-0.33768906,323,2021,0.28442892,2022,-0.11990969,4612274.40289990,397.79154186,1.67591893,0.00412219,0.17234300,0.00000000,0.17209276,0.00000000,0.65441135,0.00000000
ROT SPY top1 12M can TIP/1 fb IEF,fit,fit,2008-07-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,12M,TIP/1,IEF,0.00110440,0.00480500,0.00111480,0.00480711,213820.83021615,96500.00000000,117320.83021615,1.21575990,0.09696018,0.09355462,0.70203973,0.14749724,0.97122869,0.28726186,-0.33753239,323,2021,0.28458468,2022,-0.17903908,4346428.66480166,369.20194838,1.52571782,0.00382593,,,0.34444376,0.00000000,0.65444144,0.00000000
ROT SPY top1 12M fb best(BIL+IEF),fit,fit,2008-07-01,2022-12-30,false,true,"{""*"": 6, ""ACWX"": 3, ""AGG"": 1, ""BIL"": 1, ""BND"": 1.5, ""BTAL"": 6, ""DBC"": 3, ""DBMF"": 3, ""EEM"": 1, ""EFA"": 1, ""IEF"": 1, ""IWM"": 1, ""KMLM"": 6, ""LQD"": 1.5, ""QQQ"": 1, ""SCZ"": 5, ""SHY"": 1, ""SPY"": 0.7, ""TIP"": 2, ""TLT"": 1, ""TQQQ"": 1.5, ""VEA"": 1.5, ""VEU"": 2, ""VNQ"": 1.5, ""VTI"": 1, ""VWO"": 2}",0.03000000,tests/data/2026-08-24-net15,12M,,best(BIL+IEF),0.00123107,0.00480500,0.00123813,0.00480711,198086.17863117,96500.00000000,101586.17863117,1.05270651,0.09170873,0.08495027,0.64123455,0.15601326,0.88309723,0.27180885,-0.33740157,323,2013,0.31878101,2022,-0.11989556,2580221.12260410,222.34660023,0.96038642,0.00230411,0.05170813,0.00000000,0.12615512,0.00000000,0.82089861,0.00000000
